Source_Table,Year,Best Picture,Best Actor,Best Actress,Director,Drama Actor,Musical/Comedy Actor,Drama Actress,Musical/Comedy Actress,Drama,Musical/Comedy
1,1943–1944,The Song of Bernadette,"Paul Lukas, Watch on the Rhine","Jennifer Jones, The Song of Bernadette","Henry King, The Song of Bernadette",,,,,,
1,1944–1945,Going My Way,"Alexander Knox, Wilson","Ingrid Bergman, Gaslight","Leo McCarey, Going My Way",,,,,,
1,1945–1946,The Lost Weekend,"Ray Milland, The Lost Weekend","Ingrid Bergman, The Bells of St. Mary's","Billy Wilder, The Lost Weekend",,,,,,
1,1946–1947,The Best Years of Our Lives,"Gregory Peck, The Yearling","Rosalind Russell, Sister Kenny","Frank Capra, It's a Wonderful Life",,,,,,
1,1947–1948,Gentleman's Agreement,,,,,,,,,
1,1948–1950,Johnny Belinda and The Treasure of the Sierra Madre (TIE),"Laurence Olivier, Hamlet","Jane Wyman, Johnny Belinda","John Huston, The Treasure of the Sierra Madre",,,,,,
1,1949–1950,All the King's Men,"Broderick Crawford, All the King's Men","Olivia de Havilland, The Heiress","Robert Rossen, All the King's Men",,,,,,
2,1950–1951,Sunset Boulevard,,,"Billy Wilder, Sunset Boulevard","José Ferrer, Cyrano de Bergerac","Fred Astaire, Three Little Words","Gloria Swanson, Sunset Boulevard","Judy Holliday, Born Yesterday",,
3,1951–1952,,,,"Laslo Benedek, Death of a Salesman","Fredric March, Death of a Salesman","Danny Kaye, On the Riviera","Jane Wyman, The Blue Veil","June Allyson, Too Young to Kiss",A Place in the Sun,An American in Paris
3,1952–1953,,,,"Cecil B. DeMille, The Greatest Show on Earth","Gary Cooper, High Noon","Donald O'Connor, Singin' in the Rain","Shirley Booth, Come Back, Little Sheba","Susan Hayward, With a Song in My Heart",The Greatest Show on Earth,With a Song in My Heart
3,1953–1954,,,,"Fred Zinnemann, From Here to Eternity","Spencer Tracy, The Actress","David Niven, The Moon Is Blue","Audrey Hepburn, Roman Holiday","Ethel Merman, Call Me Madam",The Robe,No award
3,1954–1955,,,,"Elia Kazan, On the Waterfront","Marlon Brando, On the Waterfront","James Mason, A Star Is Born","Grace Kelly, The Country Girl","Judy Garland, A Star Is Born",On the Waterfront,Carmen Jones
3,1955–1956,,,,"Joshua Logan, Picnic","Ernest Borgnine, Marty","Tom Ewell, The Seven Year Itch","Anna Magnani, The Rose Tattoo","Jean Simmons, Guys and Dolls",East of Eden,Guys and Dolls
3,1956–1957,,,,"Elia Kazan, Baby Doll","Kirk Douglas, Lust for Life","Cantinflas, Around the World in 80 Days","Ingrid Bergman, Anastasia","Deborah Kerr, The King and I",Around the World in 80 Days,The King and I
3,1957–1958,,,,"David Lean, The Bridge on the River Kwai","Alec Guinness, The Bridge on the River Kwai","Frank Sinatra, Pal Joey","Joanne Woodward, The Three Faces of Eve","Taina Elg, Les Girls and Kay Kendall, Les Girls (TIE)",The Bridge on the River Kwai,Les Girls
3,1958–1959,,,,"Vincente Minnelli, Gigi","David Niven, Separate Tables","Danny Kaye, Me and the Colonel","Susan Hayward, I Want to Live!","Rosalind Russell, Auntie Mame",The Defiant Ones,Gigi Auntie Mame
3,1959–1960,,,,"William Wyler, Ben-Hur","Anthony Franciosa, Career","Jack Lemmon, Some Like It Hot","Elizabeth Taylor, Suddenly, Last Summer","Marilyn Monroe, Some Like It Hot",Ben-Hur,Porgy and Bess Some Like It Hot
3,1960–1961,,,,"Jack Cardiff, Sons and Lovers","Burt Lancaster, Elmer Gantry","Jack Lemmon, The Apartment","Greer Garson, Sunrise at Campobello","Shirley MacLaine, The Apartment",Spartacus,Song Without End The Apartment
3,1961–1962,,,,"Stanley Kramer, Judgment at Nuremberg","Maximilian Schell, Judgment at Nuremberg","Glenn Ford, Pocketful of Miracles","Geraldine Page, Summer and Smoke","Rosalind Russell, A Majority of One",The Guns of Navarone,West Side Story A Majority of One
3,1962–1963,,,,"David Lean, Lawrence of Arabia","Gregory Peck, To Kill a Mockingbird","Marcello Mastroianni, Divorce Italian Style","Geraldine Page, Sweet Bird of Youth","Rosalind Russell, Gypsy",Lawrence of Arabia,The Music Man That Touch of Mink
3,1963–1964,,,,"Elia Kazan, America America","Sidney Poitier, Lilies of the Field","Alberto Sordi, The Devil","Leslie Caron, The L-Shaped Room","Shirley MacLaine, Irma la Douce",The Cardinal,Tom Jones
3,1964–1965,,,,"George Cukor, My Fair Lady","Peter O'Toole, Becket","Rex Harrison, My Fair Lady","Anne Bancroft, The Pumpkin Eater","Julie Andrews, Mary Poppins",Becket,My Fair Lady
3,1965–1966,,,,"David Lean, Doctor Zhivago","Omar Sharif, Doctor Zhivago","Lee Marvin, Cat Ballou","Samantha Eggar, The Collector","Julie Andrews, The Sound of Music",Doctor Zhivago,The Sound of Music
